,domain,bias_rating,category,mbfc_ideo,ave_m,ave_m_log10,donation,donation_adj,len_of_content,content,link,cleaned_rating,side,sep_side
72,firstpost.com,right-center,right-center,1.0,37033333.0,7.568592812039290,0,0,1,unknown,unknown,right center,right,right center
73,stuff.co.nz,left-center,leftcenter,-1.0,36266666.0,7.559507644634180,0,0,1,unknown,unknown,left center,left,left center
74,engadget.com,left-center,leftcenter,-1.0,36000000.0,7.556302512831020,0,0,1,unknown,unknown,left center,left,left center
75,news.sky.com,least biased,center,0.0,35566666.0,7.551043168775050,0,0,1,unknown,unknown,unknown,unknown,unknown
76,oneindia.com,left-center,leftcenter,-1.0,35300000.0,7.547774717690780,0,0,1,unknown,unknown,left center,left,left center
77,vox.com,left,left,-1.0,34600000.0,7.53907611134464,0,0,1,unknown,unknown,left,left,left
78,zerohedge.com,right conspiracy/pseudoscience,conspiracy,1.0,34500000.0,7.53781910766152,0,1,1,unknown,unknown,right conspiracy-pseudoscience,right,right
79,mainichi.jp,left-center,leftcenter,-1.0,33310000.000000000,7.522574632691180,0,0,1,unknown,unknown,left center,left,left center
80,rte.ie,least biased,center,0.0,32980000.0,7.5182506513085,0,0,1,unknown,unknown,unknown,unknown,unknown
81,zdf.de,least biased,center,0.0,30666666.0,7.486666577346490,0,0,1,unknown,unknown,unknown,unknown,unknown
82,slate.com,left,left,-1.0,30486666.0,7.484109947073460,0,0,1,unknown,unknown,left,left,left
83,foxbusiness.com,right-center,right-center,1.0,30472351.0,7.483905976414990,0,0,1,unknown,unknown,right center,right,right center
84,deadspin.com,left-center,left,-1.0,30296666.0,7.481394853481620,failed,failed,1,unknown,unknown,left center,left,left center
85,howtogeek.com,least biased,center,0.0,30270000.0,7.4810124209565700,0,0,1,unknown,unknown,unknown,unknown,unknown
