domain	bias_rating	category	mbfc_ideo	ave_m	ave_m_log10
knowyourmeme.com	least biased	center	0.0	20100000.0	7.303196079027179
9news.com.au	right-center	right-center	1.0	19786666.0	7.29637264486759
arstechnica.com	least biased	center	0.0	19783333.0	7.296299483205976
ft.com	least biased	center	0.0	19703333.0	7.294539719323675
rollingstone.com	left	left	-1.0	19653333.0	7.293436234863167
investors.com	right	right	1.0	19540000.0	7.290924559382754
consumerreports.org	least biased	center	0.0	19423333.0	7.288323778276768
aljazeera.com	left-center	leftcenter	-1.0	19240000.0	7.284205090274272
sbs.com.au	left-center	leftcenter	-1.0	19186666.0	7.28299953808998
news.abs-cbn.com	least biased	center	0.0	19053333.0	7.279970980595018
newyorker.com	left	left	-1.0	18903333.0	7.276538407882664
variety.com	left-center	leftcenter	-1.0	18770229.0	7.273469594257939
independent.ie		right-center	1.0	18650000.0	7.270678859431273
business-standard.com	right-center	right-center	1.0	18594298.0	7.269379810220111
chicagotribune.com	right-center	right-center	1.0	18580000.0	7.269045733031922
fivethirtyeight.com	left-center	leftcenter	-1.0	18500000.0	7.267171751878391
straitstimes.com	right-center	right-center	1.0	18476666.0	7.266623631707806
rawstory.com	left	left	-1.0	18426666.0	7.265446787502747
vulture.com	left-center	leftcenter	-1.0	18146666.0	7.258796869789124
techcrunch.com	left-center	leftcenter	-1.0	18123333.0	7.258238094257567
wired.com	left-center	leftcenter	-1.0	17656666.0	7.246908726414811
ew.com	left-center	leftcenter	-1.0	17418409.0	7.241008508895415
euronews.com	left-center	leftcenter	-1.0	16726666.0	7.223409410913661
dailykos.com	left	left	-1.0	16596666.0	7.220020880278321
walesonline.co.uk	left-center	leftcenter	-1.0	16510000.000000002	7.217747073262793
irishtimes.com	left-center	leftcenter	-1.0	16450000.0	7.216165928686872
theage.com.au	left-center	leftcenter	-1.0	15940000.0	7.202488344305669
washingtonpost.com	left-center	leftcenter	-1.0	15920000.0	7.20194306340165
thebalance.com	least biased	center	0.0	15796666.0	7.198565463144003
theringer.com	left-center	leftcenter	-1.0	15406666.0	7.187708695819674
snopes.com	left-center	leftcenter	-1.0	15286666.0	7.1843128051442635
dawn.com	left-center	leftcenter	-1.0	15276666.0	7.184028612001329
nymag.com	left	left	-1.0	15153333.0	7.180508195775953
inquirer.net	left-center	leftcenter	-1.0	15070000.0	7.17811328113311
entrepreneur.com	right-center	right-center	1.0	14568909.0	7.1634270604389485
qz.com	left-center	leftcenter	-1.0	14503333.0	7.161467848536027
theglobeandmail.com	right-center	right-center	1.0	14480000.0	7.16076859185384
mentalfloss.com		center	0.0	14413333.0	7.158764450649236
dailycaller.com	right	right	1.0	14410000.0	7.158664010952398
theroot.com	left	left	-1.0	14366666.0	7.157356025517507
financialexpress.com	right-center	right-center	1.0	14210000.0	7.152594108490064
jezebel.com	left	left	-1.0	14036666.0	7.147263997013936
vanityfair.com	left	left	-1.0	13893333.0	7.1428064764112715
thegatewaypundit.com	extreme right	fake-news	1.0	13793333.0	7.139669252600603
inc.com	least biased	center	0.0	13650000.0	7.135132651376775
volkskrant.nl	right-center	right-center	1.0	13170000.0	7.119585807937825
cracked.com	left leaning satire	satire	-1.0	13140000.0	7.118595398275091
rd.com	right	right	1.0	13030000.0	7.114944449042935
barrons.com	right-center	right-center	1.0	12963690.0	7.112728670725319
birminghammail.co.uk	left-center	leftcenter	-1.0	12913333.0	7.111038384084414
salon.com	left	left	-1.0	12883333.0	7.110028266007875
theepochtimes.com	right	fake-news	1.0	12596666.0	7.100255648689664
uproxx.com	left	left	-1.0	12520000.0	7.097604363562467
gulfnews.com	right	fake-news	1.0	12480000.0	7.096214620145641
thrillist.com	left-center	leftcenter	-1.0	12340000.0	7.091315159697223
freep.com	left-center	leftcenter	-1.0	12193333.0	7.086122470165649
oregonlive.com	least biased	center	0.0	12166666.0	7.085171621635291
zdnet.com	least biased	center	0.0	12072632.0	7.081801998570038
health.com	left-center	leftcenter	-1.0	11910000.0	7.075911797947468
townhall.com	right	fake-news	1.0	11703333.0	7.068309599484764
mercurynews.com	left-center	leftcenter	-1.0	11476666.0	7.05981578059885
mlive.com	least biased	center	0.0	11420000.0	7.057666141939117
nationalpost.com	right-center	right-center	1.0	11336666.0	7.054485389982671
voanews.com	least biased	center	0.0	11260000.0	7.051538429084996
thestar.com	left-center	leftcenter	-1.0	11223333.0	7.050121887465544
detroitnews.com	right-center	right-center	1.0	11160000.0	7.04766419460156
dallasnews.com	right-center	right-center	1.0	11120000.0	7.046104826301296
fastcompany.com	left-center	leftcenter	-1.0	10863333.0	7.03596313239749
dailydot.com	left	left	-1.0	10826666.0	7.03449477922061
atlantablackstar.com	left-center	leftcenter	-1.0	10773333.0	7.032350124257544
infowars.com	extreme right	conspiracy	1.0	10680000.0	7.0285712526925375
thelist.com	left-center	leftcenter	-1.0	10550000.0	7.023252459633712
dailyrecord.co.uk	left	left	-1.0	10453333.0	7.01925482699009
thewrap.com	left-center	leftcenter	-1.0	10360000.0	7.015359797329529
miamiherald.com	left-center	leftcenter	-1.0	10356666.0	7.015220012513248
azcentral.com	left-center	leftcenter	-1.0	10226666.0	7.009734114712902
economist.com	least biased	center	0.0	10206666.0	7.008883945825939
westernjournal.com	far right	fake-news	1.0	10146666.0	7.006323407646103
gotquestions.org	right-psuedoscience	conspiracy	1.0	10096666.0	7.004178032951076
ajc.com	left-center	leftcenter	-1.0	9946666.0	6.997677578635074
news4jax.com	least biased	center	0.0	9806080.0	6.991495476275828
pjmedia.com	right	fake-news	1.0	9790000.0	6.9907827361641655
clickondetroit.com	least biased	center	0.0	9760006.0	6.9894501291482785
timeslive.co.za	right-center	right-center	1.0	9693333.0	6.986473177336284
nationalreview.com	right	right	1.0	9640000.0	6.984077078954123
heraldsun.com.au	right-center	right-center	1.0	9533333.0	6.979244808779623
startribune.com	left-center	leftcenter	-1.0	9473333.0	6.976502849434383
abc7.com	least biased	center	0.0	9431874.0	6.974598036449843
mediaite.com	left	left	-1.0	9426666.0	6.974358165762147
wral.com	left-center	center	-1.0	9413333.0	6.973743468417502
sciencing.com	left-center	leftcenter	-1.0	9400000.0	6.973127853599698
bdnews24.com	left-center	fake-news	-1.0	9380000.0	6.972202884679113
theintercept.com	left	leftcenter	-1.0	9363333.0	6.971430515403558
seattletimes.com	left-center	leftcenter	-1.0	9306666.0	6.968794174786421
fox8.com	least biased	center	0.0	9231676.0	6.965280600884051
avclub.com	left-center	leftcenter	-1.0	9080000.0	6.958085848521085
bostonglobe.com	left-center	leftcenter	-1.0	9030000.0	6.95568779840813
abc7ny.com	least biased	center	0.0	8988714.0	6.953697610721299
komonews.com	right-center	right-center	1.0	8983333.333333334	6.953437563147562
timesofisrael.com	left-center	leftcenter	-1.0	8870000.0	6.947923668793898
gq.com	left	left	-1.0	8830000.0	6.945960752761539
ktla.com	least biased	center	0.0	8765324.0	6.942768023463458
prnewswire.com	least biased	center	0.0	8740000.0	6.941511432634403
thestreet.com	right-center	right-center	1.0	8740000.0	6.941511432634403
al.com	right-center	right-center	1.0	8700000.0	6.939519302537522
boston.com	left-center	leftcenter	-1.0	8682798.0	6.938659747561751
chinadaily.com.cn	left	fake-news	-1.0	8626666.0	6.935843034058085
theblaze.com	right	fake-news	1.0	8536666.0	6.931288340706771
washingtontimes.com	right-center	fake-news	1.0	8420000.0	6.925312143078563
thejournal.ie	left-center	leftcenter	-1.0	8303333.0	6.91925250768593
rappler.com	left-center	leftcenter	-1.0	8193333.0	6.9134606591679955
syracuse.com	least biased	center	0.0	8163996.0	6.911902836455145
wsbtv.com	least biased	center	0.0	8113231.0	6.909193894920193
click2houston.com	least biased	center	0.0	8086596.0	6.907765800346024
jpost.com	right-center	right-center	1.0	8076666.0	6.907232177341677
digg.com	left-center	leftcenter	-1.0	7976666.0	6.901821462042311
inverse.com	left-center	leftcenter	-1.0	7940000.0	6.899820557124131
thenews.com.pk	right-center	right-center	1.0	7926666.0	6.899090613826024
fark.com	left satire	satire	-1.0	7897280.0	6.897477591296366
scroll.in		leftcenter	-1.0	7846666.0	6.894685222236967
benzinga.com	least biased	center	0.0	7816216.0	6.892996608105081
scientificamerican.com	left-center	pro-science	-1.0	7763333.0	6.890048271109519
newsmax.com	right	fake-news	1.0	7673333.0	6.884984102306036
scoopwhoop.com		leftcenter	-1.0	7666666.0	6.884606600180299
torontosun.com	right	right	1.0	7593333.0	6.880432503152871
abc7news.com	left-center	leftcenter	-1.0	7549888.0	6.877940566590531
military.com	least biased	center	0.0	7516666.0	6.876025310753495
abc13.com	left-center	leftcenter	-1.0	7414926.0	6.870106879753714
9news.com	least biased	center	0.0	7408444.0	6.869727061044297
scotsman.com	least biased	center	0.0	7320000.0	6.864511140388235
stltoday.com	left-center	leftcenter	-1.0	7303333.0	6.863521162484536
glamour.com	left-center	leftcenter	-1.0	7193333.0	6.856930225876948
dailytelegraph.com.au	right	right	1.0	7170000.0	6.855519216238854
patheos.com	least biased	center	0.0	7036666.0	6.84736699916092
jalopnik.com	left-center	leftcenter	-1.0	6954625.0	6.8422737798343825
axios.com	left-center	leftcenter	-1.0	6940000.0	6.841359533033306
wcvb.com	least biased	center	0.0	6912329.0	6.8396244635214645
clickorlando.com	least biased	center	0.0	6805050.0	6.832831384342525
6abc.com	left-center	leftcenter	-1.0	6745918.0	6.829041122197946
cp24.com	least biased	center	0.0	6703333.0	6.82629085906897
nola.com	left-center	leftcenter	-1.0	6693333.0	6.825642497009739
theaustralian.com.au	right-center	right-center	1.0	6686666.0	6.825209695614511
kcci.com	least biased	center	0.0	6459578.0	6.810204213980387
theodysseyonline.com	left-center	leftcenter	-1.0	6350000.0	6.8027737936848025
denverpost.com	left-center	leftcenter	-1.0	6330000.0	6.801403778626272
whitehouse.gov	left-center	leftcenter	-1.0	6273333.0	6.797498410524016
hbr.org	least biased	center	0.0	6253333.0	6.796111625623432
fortune.com	right-center	right-center	1.0	6216666.0	6.79355760471161
inews.co.uk	left-center	leftcenter	-1.0	6076666.0	6.783665437758379
iflscience.com	left-center	leftcenter	-1.0	6040000.0	6.7810370105241855
ibtimes.com	left-center	leftcenter	-1.0	6006666.0	6.778633556024074
atlasobscura.com	least biased	center	0.0	5960000.0	6.7752462597402365
theweek.com	left	left	-1.0	5930000.0	6.7730547666011
thehindubusinessline.com	right-center	right-center	1.0	5893333.0	6.770361055085724
abc7chicago.com	least biased	center	0.0	5873491.0	6.768896381557339
afr.com	right-center	center	1.0	5850000.0	6.7671559403205475
toofab.com	left	fake-news	-1.0	5840000.0	6.7664128471124
baltimoresun.com	left-center	leftcenter	-1.0	5836666.0	6.766164916166438
thequint.com	left-center	leftcenter	-1.0	5823333.0	6.765171699982153
10tv.com	least biased	center	0.0	5782770.0	6.7621359944122705
bongino.com	far right	fake-news	1.0	5770000.0	6.761175813155732
sfchronicle.com	left-center	leftcenter	-1.0	5693333.0	6.755366662487476
thedenverchannel.com	least biased	center	0.0	5671047.0	6.7536633231891745
chicago.suntimes.com	left-center	leftcenter	-1.0	5660000.0	6.752816507918738
sun-sentinel.com	least biased	center	0.0	5633333.0	6.750765501289805
scarymommy.com	left	left	-1.0	5610000.0	6.748962938670501
khou.com	least biased	center	0.0	5570000.0	6.745855273144006
leicestermercury.co.uk	right-center	right-center	1.0	5550000.0	6.744292983122676
motherjones.com	left-center	leftcenter	-1.0	5533333.0	6.742986885645026
orlandosentinel.com	left-center	leftcenter	-1.0	5486666.0	6.739308602541429
nbcchicago.com	left-center	leftcenter	-1.0	5444343.0	6.735945558225245
cleantechnica.com	left-center	leftcenter	-1.0	5396666.0	6.732125620858571
wyff4.com	least biased	center	0.0	5365648.0	6.7296222594002195
nbcnewyork.com	left-center	leftcenter	-1.0	5307056.0	6.724853752157844
newindianexpress.com	left-center	leftcenter	-1.0	5190000.0	6.715167357848458
oilprice.com	right-center	right-center	1.0	5170000.0	6.713490543093942
twitchy.com	right	right	1.0	5160000.0	6.7126497857928005
dailyhive.com	left-center	leftcenter	-1.0	5153333.0	6.712088291045626
kdvr.com	least biased	center	0.0	5113333.333333333	6.708704189827023
pastemagazine.com	left	left	-1.0	5106666.0	6.708137538925126
boingboing.net	left	left	-1.0	5103333.0	6.707853992712034
upi.com	least biased	center	0.0	5070000.0	6.705008044992988
thenextweb.com	left-center	leftcenter	-1.0	5043333.0	6.702717730711912
ksat.com	least biased	center	0.0	5017736.0	6.700507894435339
hawaiinewsnow.com	least biased	center	0.0	4990000.0	6.6981006326563435
ky3.com	least biased	center	0.0	4971179.0	6.696459488665343
wfaa.com	least biased	center	0.0	4944558.0	6.694127563393831
triblive.com	right-center	right-center	1.0	4930000.0	6.692847007369408
azfamily.com	least biased	center	0.0	4912523.0	6.691304685122334
kron4.com	least biased	center	0.0	4909651.0	6.691050710079009
kxan.com	least biased	center	0.0	4880856.0	6.688496083825202
listverse.com	right-center	right-center	1.0	4876666.0	6.688123101090848
shareably.net	least biased	center	0.0	4863333.0	6.686934096706956
wxyz.com	least biased	center	0.0	4837628.0	6.6846325590587385
talkingpointsmemo.com	left	left	-1.0	4833333.0	6.6842468074179955
